iter	Passed	Remaining
0	192	38382
1	236	23403
2	268	17615
3	300	14716
4	329	12835
5	352	11398
6	378	10439
7	406	9746
8	430	9136
9	456	8668
10	480	8252
11	500	7838
12	524	7544
13	544	7236
14	565	6971
15	590	6786
16	616	6638
17	645	6530
18	672	6408
19	697	6280
20	724	6179
21	759	6145
22	791	6094
23	822	6034
24	858	6010
25	895	5993
26	929	5957
27	961	5903
28	996	5875
29	1028	5828
30	1061	5787
31	1095	5751
32	1126	5701
33	1158	5658
34	1187	5597
35	1218	5551
36	1249	5502
37	1276	5443
38	1309	5405
39	1339	5357
40	1369	5310
41	1399	5264
42	1429	5219
43	1458	5172
44	1495	5151
45	1543	5165
46	1593	5186
47	1638	5188
48	1703	5250
49	1745	5235
50	1809	5287
51	1859	5292
52	1909	5296
53	1952	5278
54	1994	5259
55	2039	5244
56	2088	5240
57	2134	5225
58	2181	5213
59	2224	5191
60	2265	5161
61	2301	5122
62	2337	5082
63	2376	5049
64	2414	5015
65	2459	4993
66	2512	4986
67	2558	4966
68	2611	4958
69	2656	4933
70	2712	4928
71	2759	4906
72	2809	4888
73	2925	4981
74	2980	4966
75	3029	4942
76	3082	4923
77	3138	4909
78	3185	4878
79	3224	4837
80	3270	4805
81	3314	4769
82	3365	4744
83	3411	4710
84	3455	4675
85	3503	4643
86	3542	4601
87	3580	4557
88	3621	4517
89	3659	4472
90	3704	4436
91	3745	4397
92	3787	4357
93	3826	4315
94	3879	4288
95	3921	4248
96	3959	4204
97	3992	4155
98	4030	4111
99	4068	4068
100	4106	4025
101	4145	3982
102	4177	3933
103	4208	3884
104	4248	3844
105	4283	3798
106	4323	3757
107	4357	3712
108	4395	3669
109	4432	3626
110	4468	3582
111	4520	3551
112	4568	3517
113	4626	3489
114	4668	3450
115	4711	3412
116	4752	3371
117	4788	3327
118	4828	3286
119	4870	3246
120	4908	3205
121	4943	3160
122	4980	3118
123	5015	3074
124	5053	3032
125	5088	2988
126	5126	2946
127	5166	2906
128	5205	2865
129	5250	2827
130	5291	2787
131	5333	2747
132	5371	2706
133	5412	2666
134	5453	2625
135	5490	2583
136	5528	2542
137	5570	2502
138	5608	2461
139	5653	2423
140	5696	2383
141	5737	2343
142	5780	2304
143	5831	2267
144	5873	2227
145	5933	2194
146	5977	2155
147	6016	2113
148	6052	2071
149	6093	2031
150	6135	1991
151	6171	1948
152	6221	1911
153	6270	1872
154	6306	1831
155	6348	1790
156	6390	1750
157	6439	1711
158	6492	1674
159	6531	1632
160	6569	1591
161	6612	1551
162	6654	1510
163	6701	1471
164	6741	1429
165	6789	1390
166	6846	1352
167	6909	1316
168	6972	1278
169	7008	1236
170	7055	1196
171	7108	1157
172	7166	1118
173	7209	1077
174	7251	1035
175	7294	994
176	7347	954
177	7388	913
178	7446	873
179	7488	832
180	7536	791
181	7589	750
182	7627	708
183	7671	667
184	7709	625
185	7738	582
186	7774	540
187	7811	498
188	7849	456
189	7893	415
190	7929	373
191	7961	331
192	7985	289
193	8006	247
194	8026	205
195	8044	164
196	8063	122
197	8081	81
198	8100	40
199	8119	0
