iter	Passed	Remaining
0	156	31228
1	168	16714
2	179	11788
3	192	9412
4	202	7915
5	213	6903
6	224	6187
7	234	5616
8	244	5196
9	255	4858
10	266	4575
11	276	4338
12	288	4149
13	298	3967
14	308	3805
15	318	3665
16	328	3541
17	339	3429
18	348	3323
19	360	3241
20	370	3161
21	385	3120
22	397	3061
23	409	3004
24	421	2948
25	432	2893
26	443	2842
27	455	2798
28	468	2762
29	480	2722
30	492	2682
31	502	2637
32	514	2604
33	526	2568
34	537	2531
35	547	2496
36	558	2461
37	571	2438
38	582	2404
39	594	2376
40	605	2348
41	617	2321
42	628	2293
43	640	2269
44	651	2243
45	662	2217
46	674	2195
47	685	2170
48	696	2145
49	706	2119
50	717	2096
51	730	2078
52	741	2055
53	753	2035
54	765	2019
55	778	2001
56	790	1983
57	802	1965
58	814	1946
59	827	1931
60	840	1915
61	852	1896
62	864	1879
63	875	1861
64	887	1844
65	897	1822
66	908	1803
67	920	1786
68	932	1770
69	945	1756
70	957	1740
71	970	1724
72	981	1707
73	993	1692
74	1005	1675
75	1016	1658
76	1027	1641
77	1039	1625
78	1051	1610
79	1062	1593
80	1072	1575
81	1084	1560
82	1096	1545
83	1106	1528
84	1117	1512
85	1129	1497
86	1141	1482
87	1151	1465
88	1161	1449
89	1172	1432
90	1184	1418
91	1194	1402
92	1206	1387
93	1217	1373
94	1229	1358
95	1241	1345
96	1255	1333
97	1269	1321
98	1281	1307
99	1294	1294
100	1312	1286
101	1328	1276
102	1364	1284
103	1378	1272
104	1397	1264
105	1414	1254
106	1426	1240
107	1443	1229
108	1460	1219
109	1478	1209
110	1495	1199
111	1513	1189
112	1528	1176
113	1545	1165
114	1562	1154
115	1577	1142
116	1590	1128
117	1603	1114
118	1616	1100
119	1629	1086
120	1647	1075
121	1665	1064
122	1682	1053
123	1699	1041
124	1715	1029
125	1729	1015
126	1744	1003
127	1760	990
128	1774	976
129	1790	963
130	1806	951
131	1823	939
132	1842	928
133	1859	915
134	1874	902
135	1892	890
136	1909	878
137	1931	867
138	1945	853
139	1958	839
140	1971	824
141	1987	811
142	2001	797
143	2015	783
144	2029	769
145	2044	756
146	2058	742
147	2071	727
148	2085	713
149	2099	699
150	2114	686
151	2127	671
152	2141	657
153	2155	643
154	2171	630
155	2187	616
156	2201	603
157	2217	589
158	2231	575
159	2247	561
160	2261	547
161	2274	533
162	2289	519
163	2304	505
164	2318	491
165	2334	478
166	2349	464
167	2361	449
168	2374	435
169	2387	421
170	2398	406
171	2412	392
172	2425	378
173	2437	364
174	2451	350
175	2465	336
176	2478	322
177	2494	308
178	2508	294
179	2523	280
180	2537	266
181	2551	252
182	2565	238
183	2579	224
184	2593	210
185	2608	196
186	2623	182
187	2637	168
188	2653	154
189	2670	140
190	2682	126
191	2698	112
192	2713	98
193	2726	84
194	2737	70
195	2746	56
196	2756	41
197	2766	27
198	2775	13
199	2784	0
