iter	Passed	Remaining
0	171	34222
1	198	19634
2	225	14775
3	248	12174
4	269	10492
5	293	9495
6	318	8775
7	342	8211
8	367	7798
9	390	7413
10	415	7147
11	440	6903
12	464	6686
13	488	6493
14	512	6324
15	535	6158
16	561	6042
17	585	5923
18	610	5814
19	633	5704
20	658	5615
21	681	5515
22	704	5418
23	727	5338
24	750	5253
25	771	5165
26	793	5083
27	816	5015
28	839	4952
29	862	4888
30	886	4831
31	908	4768
32	931	4714
33	956	4668
34	978	4612
35	1001	4560
36	1023	4508
37	1046	4462
38	1068	4412
39	1089	4356
40	1112	4313
41	1134	4268
42	1156	4223
43	1181	4188
44	1204	4150
45	1229	4115
46	1250	4072
47	1275	4040
48	1300	4006
49	1323	3971
50	1346	3934
51	1368	3896
52	1390	3857
53	1413	3822
54	1439	3794
55	1460	3756
56	1483	3722
57	1507	3690
58	1529	3654
59	1552	3622
60	1573	3586
61	1596	3554
62	1620	3522
63	1642	3490
64	1664	3456
65	1688	3427
66	1711	3397
67	1734	3366
68	1757	3337
69	1783	3311
70	1807	3284
71	1831	3255
72	1855	3227
73	1878	3198
74	1901	3169
75	1923	3138
76	1946	3108
77	1967	3076
78	1989	3046
79	2010	3015
80	2033	2986
81	2055	2958
82	2077	2928
83	2099	2899
84	2121	2870
85	2144	2842
86	2165	2813
87	2187	2784
88	2209	2755
89	2230	2726
90	2252	2698
91	2275	2670
92	2297	2642
93	2318	2614
94	2340	2586
95	2362	2559
96	2384	2532
97	2407	2505
98	2428	2477
99	2450	2450
100	2471	2422
101	2491	2394
102	2513	2366
103	2535	2340
104	2557	2313
105	2579	2287
106	2603	2262
107	2625	2236
108	2645	2208
109	2668	2183
110	2689	2156
111	2712	2130
112	2732	2103
113	2754	2078
114	2776	2052
115	2799	2027
116	2821	2001
117	2842	1975
118	2864	1949
119	2885	1923
120	2909	1899
121	2931	1874
122	2953	1848
123	2975	1823
124	2997	1798
125	3019	1773
126	3040	1747
127	3061	1721
128	3082	1696
129	3103	1671
130	3126	1646
131	3149	1622
132	3170	1597
133	3192	1572
134	3214	1547
135	3235	1522
136	3256	1497
137	3278	1473
138	3300	1448
139	3322	1423
140	3343	1399
141	3364	1374
142	3385	1349
143	3407	1325
144	3427	1300
145	3448	1275
146	3471	1251
147	3494	1227
148	3516	1203
149	3536	1178
150	3558	1154
151	3580	1130
152	3601	1106
153	3624	1082
154	3647	1058
155	3670	1035
156	3692	1011
157	3714	987
158	3736	963
159	3758	939
160	3781	916
161	3802	891
162	3825	868
163	3847	844
164	3869	820
165	3891	796
166	3913	773
167	3936	749
168	3959	726
169	3981	702
170	4004	679
171	4027	655
172	4048	631
173	4070	608
174	4092	584
175	4113	560
176	4135	537
177	4157	513
178	4179	490
179	4201	466
180	4222	443
181	4244	419
182	4266	396
183	4289	372
184	4311	349
185	4332	326
186	4354	302
187	4375	279
188	4396	255
189	4417	232
190	4438	209
191	4460	185
192	4482	162
193	4504	139
194	4525	116
195	4547	92
196	4570	69
197	4591	46
198	4615	23
199	4636	0
