iter	Passed	Remaining
0	170	84941
1	182	45433
2	191	31712
3	198	24665
4	206	20440
5	214	17621
6	221	15618
7	229	14128
8	237	12956
9	244	11969
10	250	11150
11	257	10483
12	264	9895
13	270	9401
14	277	8976
15	284	8596
16	290	8246
17	296	7934
18	303	7671
19	309	7432
20	315	7205
21	322	7013
22	329	6833
23	335	6652
24	341	6495
25	349	6362
26	355	6232
27	362	6114
28	369	5999
29	376	5893
30	382	5790
31	390	5704
32	397	5626
33	405	5551
34	412	5482
35	420	5416
36	427	5347
37	434	5283
38	441	5223
39	448	5161
40	456	5107
41	463	5055
42	470	5000
43	477	4946
44	484	4898
45	490	4843
46	497	4797
47	504	4749
48	511	4708
49	518	4668
50	526	4631
51	533	4596
52	540	4561
53	547	4518
54	554	4485
55	561	4448
56	567	4412
57	574	4374
58	580	4342
59	588	4313
60	595	4284
61	602	4255
62	609	4231
63	617	4206
64	625	4182
65	632	4158
66	640	4137
67	647	4112
68	654	4088
69	662	4066
70	670	4048
71	677	4026
72	684	4005
73	691	3981
74	699	3961
75	706	3942
76	713	3920
77	720	3898
78	727	3878
79	735	3859
80	742	3841
81	750	3824
82	757	3807
83	765	3792
84	772	3771
85	777	3741
86	784	3726
87	792	3708
88	799	3690
89	806	3673
90	813	3657
91	820	3640
92	828	3625
93	835	3609
94	842	3590
95	849	3572
96	855	3556
97	863	3543
98	871	3529
99	878	3515
100	886	3500
101	893	3487
102	900	3470
103	907	3455
104	914	3441
105	921	3426
106	928	3410
107	936	3398
108	944	3388
109	951	3374
110	958	3358
111	964	3341
112	971	3327
113	979	3316
114	987	3307
115	995	3296
116	1003	3284
117	1011	3273
118	1018	3261
119	1025	3248
120	1032	3234
121	1039	3221
122	1047	3209
123	1054	3196
124	1061	3183
125	1068	3172
126	1076	3160
127	1083	3148
128	1090	3135
129	1097	3123
130	1105	3112
131	1111	3100
132	1119	3088
133	1126	3076
134	1134	3066
135	1142	3056
136	1149	3045
137	1156	3034
138	1163	3022
139	1170	3009
140	1177	2999
141	1185	2988
142	1193	2979
143	1201	2969
144	1208	2957
145	1215	2947
146	1222	2936
147	1229	2924
148	1237	2915
149	1244	2903
150	1250	2891
151	1257	2878
152	1265	2869
153	1272	2859
154	1280	2849
155	1286	2837
156	1293	2826
157	1300	2814
158	1307	2803
159	1314	2794
160	1321	2782
161	1328	2772
162	1336	2762
163	1343	2752
164	1351	2743
165	1358	2732
166	1365	2722
167	1372	2711
168	1378	2700
169	1386	2690
170	1392	2679
171	1399	2668
172	1406	2658
173	1413	2648
174	1420	2638
175	1428	2629
176	1434	2618
177	1441	2608
178	1448	2598
179	1456	2588
